2008-11-19 13:12:18 Notice: Notice (8): Undefined index:  HTTP_CLIENT_IP in [APP/views/fanfarons/edit.ctp, line 62]
2008-11-25 20:41:47 Notice: Notice (8): Undefined index:  relance in [APP/views/contrats/admin_index.ctp, line 52]
2008-11-25 20:57:49 Notice: Notice (8): Undefined index:  HTTP_REFERER in [APP/views/contrats/view.ctp, line 3]
2009-04-29 12:06:56 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2009-04-29 12:06:56 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2009-09-29 13:01:54 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2009-09-29 13:01:54 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2009-10-21 07:59:19 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2009-10-21 07:59:19 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2009-11-06 15:40:49 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2009-11-06 15:40:49 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2009-11-06 16:48:39 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2009-11-06 16:48:39 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2010-01-27 08:43:02 Notice: Notice (8): Undefined index:  prenom in [APP/views/users/admin_view.ctp, line 13]
2010-01-27 08:43:02 Notice: Notice (8): Undefined index:  nom in [APP/views/users/admin_view.ctp, line 18]
2010-01-27 08:43:02 Notice: Notice (8): Undefined index:  telephone in [APP/views/users/admin_view.ctp, line 33]
2010-01-27 08:43:02 Notice: Notice (8): Undefined index:  Entite in [APP/views/users/admin_view.ctp, line 38]
2010-01-27 08:43:02 Notice: Notice (8): Undefined index:  commentaire in [APP/views/users/admin_view.ctp, line 43]
2010-03-29 10:25:49 Notice: Notice (8): Undefined index:  prenom in [APP/views/users/admin_view.ctp, line 13]
2010-03-29 10:25:50 Notice: Notice (8): Undefined index:  nom in [APP/views/users/admin_view.ctp, line 18]
2010-03-29 10:25:50 Notice: Notice (8): Undefined index:  telephone in [APP/views/users/admin_view.ctp, line 33]
2010-03-29 10:25:50 Notice: Notice (8): Undefined index:  Entite in [APP/views/users/admin_view.ctp, line 38]
2010-03-29 10:25:50 Notice: Notice (8): Undefined index:  commentaire in [APP/views/users/admin_view.ctp, line 43]
2010-05-18 21:11:16 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2010-05-18 21:11:16 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2010-06-11 18:02:11 Notice: Notice (8): Undefined variable: contrat_id in [APP/controllers/fanfarons_controller.php, line 162]
2010-06-11 18:02:11 Notice: Notice (8): Undefined variable: contrat_id in [APP/controllers/fanfarons_controller.php, line 162]
2010-10-13 22:47:10 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2010-10-13 22:47:10 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2010-11-22 16:42:12 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2010-11-22 16:42:12 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2010-11-22 16:43:18 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2010-11-22 16:43:18 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2010-12-02 23:17:14 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2010-12-02 23:17:14 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2011-05-10 20:28:54 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2011-05-10 20:28:54 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2011-07-31 22:42:56 Notice: Notice (8): Undefined variable: modified in [APP/views/fanfarons/edit.ctp, line 82]
2011-07-31 22:42:56 Notice: Notice (8): Undefined variable: ip in [APP/views/fanfarons/edit.ctp, line 82]
2011-11-07 22:00:11 Notice: Notice (8): Undefined index:  name in [APP/controllers/fanfarons_controller.php, line 72]
2011-11-07 22:00:11 Notice: Notice (8): Undefined index:  fanfaron_id in [APP/controllers/fanfarons_controller.php, line 76]
